Name,Scaffold_SMILES,MW,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeteroatoms,NumValenceElectrons,NumRadicalElectrons,QED
Afatinib,c1ccc(Nc2ncnc3cc(OC4CCOC4)ccc23)cc1,307.353,3.541,1.0,5.0,56.27,4.0,3.0,1.0,1.0,5.0,116.0,0.0,0.799
Agomelatine,c1ccc2ccccc2c1,128.174,2.84,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,0.0,0.511
Ajmaline,c1ccc2c(c1)NC1C3CC4CCN3C3CC21CC43,252.361,2.605,1.0,2.0,15.27,0.0,1.0,6.0,5.0,2.0,98.0,0.0,0.763
Albendazole,c1ccc2[nH]cnc2c1,118.139,1.563,1.0,1.0,28.68,0.0,2.0,0.0,0.0,2.0,44.0,0.0,0.558
Alcaftadine,c1ccc2c(c1)CCn1ccnc1C2=C1CCNCC1,265.36,2.625,1.0,3.0,29.85,0.0,2.0,2.0,1.0,3.0,102.0,0.0,0.793
Alclometasone,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,242.362,3.904,0.0,1.0,17.07,0.0,0.0,4.0,3.0,1.0,96.0,0.0,0.629
Alfentanil,O=c1[nH]nnn1CCN1CCC(Nc2ccccc2)CC1,288.355,0.543,2.0,6.0,78.84,5.0,2.0,1.0,1.0,7.0,112.0,0.0,0.839
Alfuzosin,O=C(NCCCNc1ncc2ccccc2n1)C1CCCO1,300.362,1.727,2.0,5.0,76.14,6.0,2.0,1.0,1.0,6.0,116.0,0.0,0.795
Alizapride,O=C(NCC1CCCN1)c1ccc2n[nH]nc2c1,245.286,0.44,3.0,4.0,82.7,3.0,2.0,1.0,1.0,6.0,94.0,0.0,0.732
Allopurinol,O=c1ncnc2[nH][nH]cc1-2,136.114,-0.402,2.0,3.0,74.43,0.0,0.0,2.0,0.0,5.0,50.0,0.0,0.517
Almitrine,c1ccc(C(c2ccccc2)N2CCN(c3ncncn3)CC2)cc1,331.423,2.783,0.0,5.0,45.15,4.0,3.0,1.0,1.0,5.0,126.0,0.0,0.735
Almotriptan,O=S(=O)(Cc1ccc2[nH]ccc2c1)N1CCCC1,264.35,2.094,1.0,2.0,53.17,3.0,2.0,1.0,1.0,5.0,96.0,0.0,0.923
Alogliptin,O=c1cc(N2CCCCC2)n(Cc2ccccc2)c(=O)[nH]1,285.347,1.575,1.0,4.0,58.1,3.0,2.0,1.0,1.0,5.0,110.0,0.0,0.931
Alosetron,O=C1c2c([nH]c3ccccc23)CCN1Cc1c[nH]cn1,266.304,2.09,2.0,2.0,64.78,2.0,3.0,1.0,0.0,5.0,100.0,0.0,0.746
Alprazolam,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,260.3,2.618,0.0,4.0,43.07,1.0,3.0,1.0,0.0,4.0,96.0,0.0,0.675
Alprenolol,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Alprostadil,O=C1CCCC1,84.118,1.129,0.0,1.0,17.07,0.0,0.0,1.0,1.0,1.0,34.0,0.0,0.43
Altretamine,c1ncncn1,81.078,-0.128,0.0,3.0,38.67,0.0,1.0,0.0,0.0,3.0,30.0,0.0,0.436
Aluminium,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Aluminum hydroxide,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Alverine,c1ccc(CCCNCCCc2ccccc2)cc1,253.389,3.842,1.0,1.0,12.03,8.0,2.0,0.0,0.0,1.0,100.0,0.0,0.705
Alvimopan,c1ccc(CCCN2CCC(c3ccccc3)CC2)cc1,279.427,4.499,0.0,1.0,3.24,5.0,2.0,1.0,1.0,1.0,110.0,0.0,0.779
Amantadine,C1C2CC3CC1CC(C2)C3,136.238,2.833,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,56.0,0.0,0.48
Amdinocillin,O=C1C(N=CN2CCCCCC2)C2SCCN12,253.371,1.174,0.0,3.0,35.91,2.0,0.0,3.0,3.0,5.0,94.0,0.0,0.421
Amifostine,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Amiloride,c1cnccn1,80.09,0.477,0.0,2.0,25.78,0.0,1.0,0.0,0.0,2.0,30.0,0.0,0.453
Aminocaproic Acid,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Aminoglutethimide,O=C1CCC(c2ccccc2)C(=O)N1,189.214,1.207,1.0,2.0,46.17,1.0,1.0,1.0,1.0,3.0,72.0,0.0,0.675
Aminohippurate,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Aminolevulinic acid,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Aminophenazone,O=c1cc[nH]n1-c1ccccc1,160.176,1.166,1.0,2.0,37.79,1.0,2.0,0.0,0.0,3.0,60.0,0.0,0.668
Aminosalicylic Acid,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Amisulpride,O=C(NCC1CCCN1)c1ccccc1,204.273,1.168,2.0,2.0,41.13,3.0,1.0,1.0,1.0,3.0,80.0,0.0,0.776
Amitriptyline,C=C1c2ccccc2CCc2ccccc21,206.288,3.847,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,78.0,0.0,0.614
Amlexanox,O=c1c2ccccc2oc2ncccc12,197.193,2.341,0.0,3.0,43.1,0.0,3.0,0.0,0.0,3.0,72.0,0.0,0.519
Amlodipine,C1=CC(c2ccccc2)C=CN1,157.216,2.401,1.0,1.0,12.03,1.0,1.0,1.0,0.0,1.0,60.0,0.0,0.66
Ammonium lactate,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Amobarbital,O=C1CC(=O)NC(=O)N1,128.087,-1.258,2.0,3.0,75.27,0.0,0.0,1.0,1.0,5.0,48.0,0.0,0.4
Amoxapine,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1O2,279.343,2.776,1.0,4.0,36.86,0.0,2.0,2.0,1.0,4.0,106.0,0.0,0.805
Amoxicillin,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,262.334,0.629,1.0,3.0,49.41,3.0,1.0,2.0,2.0,5.0,94.0,0.0,0.813
Amphetamine,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Ampicillin,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,262.334,0.629,1.0,3.0,49.41,3.0,1.0,2.0,2.0,5.0,94.0,0.0,0.813
Amrinone,O=c1ccc(-c2ccncc2)c[nH]1,172.187,1.437,1.0,2.0,45.75,1.0,2.0,0.0,0.0,3.0,64.0,0.0,0.707
Amsacrine,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,270.335,5.132,1.0,2.0,24.92,2.0,4.0,0.0,0.0,2.0,100.0,0.0,0.511
Amyl Nitrite,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Anagrelide,O=C1CN2Cc3ccccc3N=C2N1,187.202,0.62,1.0,3.0,44.7,0.0,1.0,2.0,1.0,4.0,70.0,0.0,0.647
Anastrozole,c1ccc(Cn2cncn2)cc1,159.192,1.326,0.0,3.0,30.71,2.0,2.0,0.0,0.0,3.0,60.0,0.0,0.661
Anileridine,c1ccc(CCN2CCC(c3ccccc3)CC2)cc1,265.4,4.109,0.0,1.0,3.24,4.0,2.0,1.0,1.0,1.0,104.0,0.0,0.804
Anisindione,O=C1c2ccccc2C(=O)C1c1ccccc1,222.243,2.849,0.0,2.0,34.14,1.0,2.0,1.0,0.0,2.0,82.0,0.0,0.695
Anisotropine Methylbromide,C1CC2CCC(C1)[NH2+]2,112.196,0.265,1.0,0.0,16.61,0.0,0.0,2.0,2.0,1.0,46.0,0.0,0.463
Antazoline,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,265.36,2.695,1.0,3.0,27.63,5.0,2.0,1.0,0.0,3.0,102.0,0.0,0.9
Antipyrine,O=c1cc[nH]n1-c1ccccc1,160.176,1.166,1.0,2.0,37.79,1.0,2.0,0.0,0.0,3.0,60.0,0.0,0.668
Apixaban,O=C1CCCCN1c1ccc(N2CCc3cnn(-c4ccccc4)c3C2=O)cc1,386.455,3.592,0.0,4.0,58.44,3.0,3.0,2.0,1.0,6.0,146.0,0.0,0.691
Apomorphine,c1ccc2c(c1)CC1NCCc3cccc-2c31,221.303,3.097,1.0,1.0,12.03,0.0,2.0,2.0,0.0,1.0,84.0,0.0,0.721
Apraclonidine,c1ccc(NC2=NCCN2)cc1,161.208,1.058,2.0,3.0,36.42,1.0,1.0,1.0,0.0,3.0,62.0,0.0,0.646
Aprindine,c1ccc(NC2Cc3ccccc3C2)cc1,209.292,3.266,1.0,1.0,12.03,2.0,2.0,1.0,0.0,1.0,80.0,0.0,0.8
Aprobarbital,O=C1CC(=O)NC(=O)N1,128.087,-1.258,2.0,3.0,75.27,0.0,0.0,1.0,1.0,5.0,48.0,0.0,0.4
Arformoterol,c1ccc(CCNCCc2ccccc2)cc1,225.335,3.061,1.0,1.0,12.03,6.0,2.0,0.0,0.0,1.0,88.0,0.0,0.745
Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4)CC3)cc2N1,379.504,3.553,1.0,4.0,44.81,7.0,2.0,2.0,1.0,5.0,148.0,0.0,0.748
Arsenic trioxide,O1[As]2O[As]1O2,197.841,-0.967,0.0,3.0,27.69,0.0,0.0,3.0,3.0,5.0,28.0,0.0,0.468
Artemether,C1CC2CCOC3OC4CCC(C1)C23OO4,226.272,1.986,0.0,4.0,36.92,0.0,0.0,5.0,5.0,4.0,90.0,0.0,0.592
Asenapine,c1ccc2c(c1)Oc1ccccc1C1CNCC21,237.302,3.263,1.0,2.0,21.26,0.0,2.0,2.0,1.0,2.0,90.0,0.0,0.759
Aspartame,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Atenolol,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Atomoxetine,c1ccc(COc2ccccc2)cc1,184.238,3.266,0.0,1.0,9.23,3.0,2.0,0.0,0.0,1.0,70.0,0.0,0.711
Atropine,O=C(Cc1ccccc1)OC1CC2CCC(C1)N2,245.322,2.055,1.0,3.0,38.33,3.0,1.0,2.0,2.0,3.0,96.0,0.0,0.828
Avanafil,O=C(NCc1ncccn1)c1cnc(N2CCCC2)nc1NCc1ccccc1,389.463,2.409,2.0,7.0,95.93,7.0,3.0,1.0,1.0,8.0,148.0,0.0,0.64
Azacitidine,O=c1ncncn1C1CCCO1,167.168,-0.053,0.0,5.0,57.01,1.0,1.0,1.0,1.0,5.0,64.0,0.0,0.588
Azatadine,c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,276.383,3.366,1.0,2.0,24.92,0.0,2.0,2.0,1.0,2.0,106.0,0.0,0.798
Azathioprine,c1nc(Sc2cnc[nH]2)c2[nH]cnc2n1,218.245,1.227,2.0,5.0,83.14,2.0,3.0,0.0,0.0,7.0,74.0,0.0,0.632
Azelaic Acid,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Azelastine,O=c1c2ccccc2c(Cc2ccccc2)nn1C1CCCNCC1,333.435,3.302,1.0,4.0,46.92,3.0,3.0,1.0,1.0,4.0,128.0,0.0,0.8
Azidocillin,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,262.334,0.629,1.0,3.0,49.41,3.0,1.0,2.0,2.0,5.0,94.0,0.0,0.813
Azlocillin,O=C(NC1C(=O)N2CCSC12)C(NC(=O)N1CCNC1=O)c1ccccc1,389.437,-0.138,3.0,5.0,110.85,4.0,1.0,3.0,3.0,10.0,142.0,0.0,0.621
Bacampicillin,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,262.334,0.629,1.0,3.0,49.41,3.0,1.0,2.0,2.0,5.0,94.0,0.0,0.813
Baclofen,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Balsalazide,c1ccc(N=Nc2ccccc2)cc1,182.226,4.102,0.0,2.0,24.72,2.0,2.0,0.0,0.0,2.0,68.0,0.0,0.624
Bambuterol,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Benazepril,O=C1Nc2ccccc2CCC1NCCCc1ccccc1,294.398,3.162,2.0,2.0,41.13,5.0,2.0,1.0,0.0,3.0,114.0,0.0,0.832
Bendroflumethiazide,O=S1(=O)NC(Cc2ccccc2)Nc2ccccc21,274.345,1.959,2.0,3.0,58.2,2.0,2.0,1.0,0.0,5.0,98.0,0.0,0.88
Bentiromide,O=C(NC(Cc1ccccc1)C(=O)Nc1ccccc1)c1ccccc1,344.414,3.666,2.0,2.0,58.2,6.0,3.0,0.0,0.0,4.0,130.0,0.0,0.717
Bentoquatam,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Benzatropine,c1ccc(C(OC2CC3CCC(C2)N3)c2ccccc2)cc1,293.41,4.076,1.0,2.0,21.26,4.0,2.0,2.0,2.0,2.0,114.0,0.0,0.917
Benzocaine,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Benzphetamine,c1ccc(CCNCc2ccccc2)cc1,211.308,3.019,1.0,1.0,12.03,5.0,2.0,0.0,0.0,1.0,82.0,0.0,0.75
Benzquinamide,c1ccc2c(c1)CCN1CCCCC21,187.286,2.77,0.0,1.0,3.24,0.0,1.0,2.0,1.0,1.0,74.0,0.0,0.603
Benzthiazide,O=S1(=O)N=C(CSCc2ccccc2)Nc2ccccc21,318.423,3.133,1.0,4.0,58.53,4.0,2.0,1.0,0.0,6.0,108.0,0.0,0.941
Benzyl alcohol,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Benzyl Benzoate,O=C(OCc1ccccc1)c1ccccc1,212.248,3.044,0.0,2.0,26.3,3.0,2.0,0.0,0.0,2.0,80.0,0.0,0.731
Bepotastine,c1ccc(C(OC2CCNCC2)c2ccccn2)cc1,268.36,2.94,1.0,3.0,34.15,4.0,2.0,1.0,1.0,3.0,104.0,0.0,0.925
Bepridil,c1ccc(CN(CCN2CCCC2)c2ccccc2)cc1,280.415,3.789,0.0,2.0,6.48,6.0,2.0,1.0,1.0,2.0,110.0,0.0,0.794
Besifloxacin,O=c1ccn(C2CC2)c2cc(N3CCCCCC3)ccc12,282.387,3.717,0.0,3.0,25.24,2.0,2.0,2.0,2.0,3.0,110.0,0.0,0.839
Betahistine,c1ccncc1,79.102,1.082,0.0,1.0,12.89,0.0,1.0,0.0,0.0,1.0,30.0,0.0,0.453
Betamethasone,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,242.362,3.904,0.0,1.0,17.07,0.0,0.0,4.0,3.0,1.0,96.0,0.0,0.629
Betaxolol,c1ccc(CCOCC2CC2)cc1,176.259,2.656,0.0,1.0,9.23,5.0,1.0,1.0,1.0,1.0,70.0,0.0,0.627
Betazole,c1cn[nH]c1,68.079,0.41,1.0,1.0,28.68,0.0,1.0,0.0,0.0,2.0,26.0,0.0,0.468
Bethanechol,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Bethanidine,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Bevantolol,c1ccc(CCNCCCOc2ccccc2)cc1,255.361,3.288,1.0,2.0,21.26,8.0,2.0,0.0,0.0,2.0,100.0,0.0,0.731
Bezafibrate,O=C(NCCc1ccccc1)c1ccccc1,225.291,2.659,1.0,1.0,29.1,4.0,2.0,0.0,0.0,2.0,86.0,0.0,0.851
Bicalutamide,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,289.356,2.489,1.0,3.0,63.24,5.0,2.0,0.0,0.0,5.0,104.0,0.0,0.919
Bimatoprost,C(=CC1CCCC1)CCCc1ccccc1,214.352,4.756,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,86.0,0.0,0.49
Biotin,O=C1NC2CSCC2N1,144.199,-0.217,2.0,2.0,41.13,0.0,0.0,2.0,2.0,4.0,50.0,0.0,0.462
Biperiden,C1=CC2CC1CC2C(CCN1CCCCC1)c1ccccc1,295.47,4.858,0.0,1.0,3.24,5.0,1.0,3.0,2.0,1.0,118.0,0.0,0.701
Bismuth Subsalicylate,O=C1O[BiH]Oc2ccccc21,346.094,0.502,0.0,3.0,35.53,0.0,1.0,1.0,0.0,4.0,56.0,0.0,0.642
Bisoprolol,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Bopindolol,O=C(OCCOc1cccc2[nH]ccc12)c1ccccc1,281.311,3.404,1.0,3.0,51.32,5.0,3.0,0.0,0.0,4.0,106.0,0.0,0.576
Bortezomib,O=C(NCCc1ccccc1)c1cnccn1,227.267,1.449,1.0,3.0,54.88,4.0,2.0,0.0,0.0,4.0,86.0,0.0,0.86
Bretylium,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Brimonidine,c1cnc2cc(NC3=NCCN3)ccc2n1,213.244,1.001,2.0,5.0,62.2,1.0,2.0,1.0,0.0,5.0,80.0,0.0,0.742
Brinzolamide,O=S1(=O)NCCc2ccsc21,189.261,0.583,1.0,3.0,46.17,0.0,1.0,1.0,0.0,5.0,60.0,0.0,0.649
Bromazepam,O=C1CN=C(c2ccccn2)c2ccccc2N1,237.262,1.871,1.0,3.0,54.35,1.0,2.0,1.0,0.0,4.0,88.0,0.0,0.823
Bromfenac,O=C(c1ccccc1)c1ccccc1,182.222,2.918,0.0,1.0,17.07,2.0,2.0,0.0,0.0,1.0,68.0,0.0,0.652
Bromodiphenhydramine,c1ccc(Cc2ccccc2)cc1,168.239,3.277,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,64.0,0.0,0.645
Brompheniramine,c1ccc(Cc2ccccn2)cc1,169.227,2.672,0.0,1.0,12.89,2.0,2.0,0.0,0.0,1.0,64.0,0.0,0.673
Budesonide,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,286.371,2.866,0.0,3.0,35.53,0.0,0.0,5.0,4.0,3.0,112.0,0.0,0.687
Bumetanide,c1ccc(Oc2ccccc2)cc1,170.211,3.479,0.0,1.0,9.23,2.0,2.0,0.0,0.0,1.0,64.0,0.0,0.67
Bupivacaine,O=C(Nc1ccccc1)C1CCCCN1,204.273,1.767,2.0,2.0,41.13,2.0,1.0,1.0,1.0,3.0,80.0,0.0,0.77
Bupranolol,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Buprenorphine,c1cc2c3c(c1)OC1C4CCC5(CC4)C(C2)N(CC2CC2)CCC315,321.464,3.916,0.0,2.0,12.47,2.0,1.0,7.0,5.0,2.0,126.0,0.0,0.819
Bupropion,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,385.512,2.088,0.0,6.0,69.64,6.0,1.0,3.0,3.0,7.0,152.0,0.0,0.552
Busulfan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Butabarbital,O=C1CC(=O)NC(=O)N1,128.087,-1.258,2.0,3.0,75.27,0.0,0.0,1.0,1.0,5.0,48.0,0.0,0.4
Butalbital,O=C1CC(=O)NC(=O)N1,128.087,-1.258,2.0,3.0,75.27,0.0,0.0,1.0,1.0,5.0,48.0,0.0,0.4
Butethal,O=C1CC(=O)NC(=O)N1,128.087,-1.258,2.0,3.0,75.27,0.0,0.0,1.0,1.0,5.0,48.0,0.0,0.4
Butorphanol,c1ccc2c(c1)CC1C3CCCCC23CCN1CC1CCC1,295.47,4.545,0.0,1.0,3.24,2.0,1.0,4.0,3.0,1.0,118.0,0.0,0.774
Cabergoline,c1cc2c3c(c[nH]c3c1)CC1NCCCC21,212.296,2.56,2.0,1.0,27.82,0.0,2.0,2.0,1.0,2.0,82.0,0.0,0.69
Caffeine,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,152.113,-1.061,3.0,3.0,94.4,0.0,2.0,0.0,0.0,6.0,56.0,0.0,0.449
Calcium Acetate,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Calcium Chloride,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Camazepam,O=C1CN=C(c2ccccc2)c2ccccc2N1,236.274,2.476,1.0,2.0,41.46,1.0,2.0,1.0,0.0,3.0,88.0,0.0,0.812
Canagliflozin,c1ccc(-c2ccc(Cc3cccc(C4CCCCO4)c3)s2)cc1,334.484,6.248,0.0,2.0,9.23,4.0,3.0,1.0,1.0,2.0,122.0,0.0,0.548
Candesartan,c1ccc(-c2nn[nH]n2)c(-c2ccc(Cn3cnc4ccccc43)cc2)c1,352.401,3.932,1.0,5.0,72.28,4.0,5.0,0.0,0.0,6.0,130.0,0.0,0.532
Capecitabine,O=c1ncccn1C1CCCO1,166.18,0.552,0.0,4.0,44.12,1.0,1.0,1.0,1.0,4.0,64.0,0.0,0.612
Captopril,C1CCNC1,71.123,0.37,1.0,1.0,12.03,0.0,0.0,1.0,1.0,1.0,30.0,0.0,0.435
Carbachol,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Carbamazepine,C1=Cc2ccccc2Nc2ccccc21,193.249,3.914,1.0,1.0,12.03,0.0,2.0,1.0,0.0,1.0,72.0,0.0,0.57
Carbenicillin,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,262.334,0.629,1.0,3.0,49.41,3.0,1.0,2.0,2.0,5.0,94.0,0.0,0.813
Carbimazole,S=c1[nH]cc[nH]1,100.146,1.072,2.0,1.0,31.58,0.0,1.0,0.0,0.0,3.0,32.0,0.0,0.469
Carbinoxamine,c1ccc(Cc2ccccn2)cc1,169.227,2.672,0.0,1.0,12.89,2.0,2.0,0.0,0.0,1.0,64.0,0.0,0.673
Carboplatin,O=C1O[Pt]OC(=O)C12CCC2,337.188,0.169,0.0,4.0,52.6,0.0,0.0,2.0,2.0,5.0,64.0,0.0,0.592
Carglumic Acid,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Carisoprodol,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Carmustine,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Carphenazine,c1ccc2c(c1)Sc1ccccc1N2CCN1CCNCC1,311.454,3.195,1.0,4.0,18.51,3.0,2.0,2.0,1.0,4.0,114.0,0.0,0.938
Carprofen,c1ccc2c(c1)[nH]c1ccccc12,167.211,3.321,1.0,0.0,15.79,0.0,3.0,0.0,0.0,1.0,62.0,0.0,0.528
Carteolol,O=C1CCc2ccccc2N1,147.177,1.571,1.0,1.0,29.1,0.0,1.0,1.0,0.0,2.0,56.0,0.0,0.593
Carvedilol,c1ccc(OCCNCCCOc2cccc3[nH]c4ccccc4c23)cc1,360.457,4.759,2.0,3.0,46.28,9.0,4.0,0.0,0.0,4.0,138.0,0.0,0.423
Cefacetrile,O=C1CC2SCC=CN12,141.195,0.805,0.0,2.0,20.31,0.0,0.0,2.0,1.0,3.0,48.0,0.0,0.465
Cefaclor,O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,274.345,1.143,1.0,3.0,49.41,3.0,1.0,2.0,1.0,5.0,98.0,0.0,0.841
Cefadroxil,O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,274.345,1.143,1.0,3.0,49.41,3.0,1.0,2.0,1.0,5.0,98.0,0.0,0.841
